armadilha_id,data,hora,tubito_chave,tubito_numero,tubito_quantidade,ocorrencia,id
1,2025-07-01,08:38,,,,,1
2,2025-07-01,08:38,,,,,2
3,2025-07-01,08:38,,,,,3
4,2025-07-01,08:38,,,,,4
5,2025-07-01,08:38,,,,,5
6,2025-07-01,08:38,,,,,6
7,2025-07-01,08:38,,,,,7
8,2025-07-01,08:38,,,,,8
9,2025-07-01,08:38,,,,,9
10,2025-07-01,08:38,,,,,10
11,2025-07-01,08:39,,,,,11
12,2025-07-01,08:39,,,,,12
13,2025-07-01,08:39,,,,,13
14,2025-07-01,08:39,,,,,14
15,2025-07-01,08:39,,,,,15
16,2025-07-01,08:39,,,,,16
17,2025-07-01,08:39,,,,,17
18,2025-07-01,08:39,,,,,18
19,2025-07-01,08:39,,,,,19
20,2025-07-01,08:39,,,,,20
21,2025-07-01,08:39,,,,,21
22,2025-07-01,08:39,,,,,22
23,2025-07-01,08:39,,,,,23
24,2025-07-01,08:39,,,,,24